postac_a,postac_b,sila
BRUTAL,DOWNSTAIRS PARLOR,1
COFFEY,DOWNSTAIRS PARLOR,1
DOWNSTAIRS PARLOR,HAL,1
DOWNSTAIRS PARLOR,MELINDA,1
DOWNSTAIRS PARLOR,PAUL,1
BILLY,WILD BILL,1
BRUTAL,WILD BILL,1
COFFEY,WILD BILL,1
DEAN,WILD BILL,1
HARRY,WILD BILL,1
PAUL,WILD BILL,1
PERCY,WILD BILL,1
BRUTAL,COP #1,1
BRUTAL,COP #2,1
BRUTAL,MEDIC,1
COP #1,COP #2,1
COP #1,DEAN,1
COP #1,HAL,1
COP #1,HARRY,1
COP #1,MEDIC,1
COP #1,PAUL,1
COP #1,PERCY,1
COP #2,DEAN,1
COP #2,HAL,1
COP #2,HARRY,1
COP #2,MEDIC,1
COP #2,PAUL,1
COP #2,PERCY,1
DEAN,HAL,1
DEAN,MEDIC,1
HAL,HARRY,1
HAL,MEDIC,1
HARRY,MEDIC,1
MEDIC,PAUL,1
MEDIC,PERCY,1
BRUTAL,FRED ASTAIRE,1
BRUTAL,IN THE AUDITORIUM,1
BRUTAL,PROJECTION BOOTH,1
COFFEY,FRED ASTAIRE,1
COFFEY,IN THE AUDITORIUM,1
COFFEY,PROJECTION BOOTH,1
FRED ASTAIRE,IN THE AUDITORIUM,1
FRED ASTAIRE,PROJECTION BOOTH,1
IN THE AUDITORIUM,PAUL,1
IN THE AUDITORIUM,PROJECTION BOOTH,1
PAUL,PROJECTION BOOTH,1
BRUTAL,IN TIGHT ANGLES,1
BRUTAL,JACK VAN HAY,1
BRUTAL,KATHE AND CORA,1
BRUTAL,MARJORIE,1
BRUTAL,THE WITNESSES,1
COFFEY,IN TIGHT ANGLES,1
COFFEY,JACK VAN HAY,1
COFFEY,KATHE AND CORA,1
COFFEY,MARJORIE,1
COFFEY,THE WITNESSES,1
IN TIGHT ANGLES,JACK VAN HAY,1
IN TIGHT ANGLES,KATHE AND CORA,1
IN TIGHT ANGLES,MARJORIE,1
IN TIGHT ANGLES,PAUL,1
IN TIGHT ANGLES,THE WITNESSES,1
JACK VAN HAY,KATHE AND CORA,1
JACK VAN HAY,MARJORIE,1
JACK VAN HAY,PAUL,1
JACK VAN HAY,THE WITNESSES,1
KATHE AND CORA,MARJORIE,1
KATHE AND CORA,PAUL,1
KATHE AND CORA,THE WITNESSES,1
MARJORIE,THE WITNESSES,1
PAUL,THE WITNESSES,1
